vehicle,world_id,start_goal_id,controller,speed,scale_factor,seed,success,failure_mode,time_to_goal,time_at_failure,distance_at_failure,remaining_distance,total_path_length,avg_roll,avg_pitch,terrain_slope,terrain_roughness,terrain_deformability,terrain_bucket,sim_time,distance_traveled,fraction_completed,est_time_remaining
hmmwv,1,0,pid,4.0,1.0,0,0,stuck,,6.245000000000889,19.455576190842603,104.88917975178174,127.9537015086913,6.338668199548753,2.823500639923795,0.480462588847454,0.24495812777954415,0.0,,16.245000000001053,19.455576190842603,0.15205168714498718,33.66813303932282
hmmwv,1,0,pid,6.0,1.0,0,0,stuck,,6.160000000000906,21.844112567341895,104.7131149600794,127.9537015086913,3.990122488069594,4.676592034119264,0.480462588847454,0.24495812777954415,0.0,,16.16000000000107,21.844112567341895,0.17071887963989948,29.528907899812882
hmmwv,1,0,pid,8.0,1.0,0,0,stuck,,6.160000000000906,21.844112567341895,104.7131149600794,127.9537015086913,3.990122488069594,4.676592034119264,0.480462588847454,0.24495812777954415,0.0,,16.16000000000107,21.844112567341895,0.17071887963989948,29.528907899812882
hmmwv,1,0,pid,10.0,1.0,0,0,stuck,,3.9200000000006128,14.563694165960268,108.59340293830402,127.9537015086913,8.572227430668962,2.8648652209427077,0.480462588847454,0.24495812777954415,0.0,,13.920000000000776,14.563694165960268,0.11382003016904535,29.229269350710123
hmmwv,1,0,pid,12.0,1.0,0,0,stuck,,3.9200000000006128,14.563694165960268,108.59340293830402,127.9537015086913,8.572227430668962,2.8648652209427077,0.480462588847454,0.24495812777954415,0.0,,13.920000000000776,14.563694165960268,0.11382003016904535,29.229269350710123
hmmwv,1,1,pid,4.0,1.0,0,0,stuck,,22.429999999997975,63.93093365624439,61.851497104544954,132.10237857210421,6.63964302742473,7.451319500285599,0.41386234672040245,0.21531960490168298,0.0,,32.42999999999814,63.93093365624439,0.48394990572671304,21.700435152636192
hmmwv,1,1,pid,6.0,1.0,0,1,reached,28.62999999999859,,,7.975652085234695,132.10237857210421,8.007513578893482,6.983178147144487,0.41386234672040245,0.21531960490168298,0.0,,28.62999999999859,129.23515624802272,0.9782954527005999,0.0
hmmwv,1,1,pid,8.0,1.0,0,1,reached,30.849999999998147,,,7.972810020639242,132.10237857210421,7.849075190354127,6.552180878934349,0.41386234672040245,0.21531960490168298,0.0,,30.849999999998147,131.85649024836815,0.9981386533202969,0.0
hmmwv,1,1,pid,10.0,1.0,0,0,stuck,,6.085000000000921,12.30783550171975,111.04216698304411,132.10237857210421,2.302217768890924,2.158976996244465,0.41386234672040245,0.21531960490168298,0.0,,16.085000000001084,12.30783550171975,0.09316891667474313,54.89930264322371
hmmwv,1,1,pid,12.0,1.0,0,0,stuck,,13.789999999999388,68.05699423779883,60.544244628294514,132.10237857210421,14.537641747400517,4.838555005646829,0.41386234672040245,0.21531960490168298,0.0,,23.78999999999955,68.05699423779883,0.5151837156410618,12.267734459545649
hmmwv,1,2,pid,4.0,1.0,0,0,stuck,,0.4400000000000688,3.8625128981147445,119.59626169458596,124.01957461608315,20.95229064648176,5.796944804787867,0.38903611984763703,0.1903366418369536,0.0,,10.440000000000232,3.8625128981147445,0.031144381119445032,13.623865222899454
hmmwv,1,2,pid,6.0,1.0,0,0,stuck,,0.42000000000006565,3.263172808994006,119.56059252432554,124.01957461608315,21.793011860862006,6.023333653049354,0.38903611984763703,0.1903366418369536,0.0,,10.420000000000229,3.263172808994006,0.026311756181195852,15.388534962604494
hmmwv,1,2,pid,8.0,1.0,0,0,stuck,,0.42000000000006565,3.263172808994006,119.56059252432554,124.01957461608315,21.793011860862006,6.023333653049354,0.38903611984763703,0.1903366418369536,0.0,,10.420000000000229,3.263172808994006,0.026311756181195852,15.388534962604494
hmmwv,1,2,pid,10.0,1.0,0,0,stuck,,0.42000000000006565,3.263172808994006,119.56059252432554,124.01957461608315,21.793011860862006,6.023333653049354,0.38903611984763703,0.1903366418369536,0.0,,10.420000000000229,3.263172808994006,0.026311756181195852,15.388534962604494
hmmwv,1,2,pid,12.0,1.0,0,0,stuck,,0.4400000000000688,3.8625128981147445,119.59626169458596,124.01957461608315,20.95229064648176,5.796944804787867,0.38903611984763703,0.1903366418369536,0.0,,10.440000000000232,3.8625128981147445,0.031144381119445032,13.623865222899454
hmmwv,3,0,pid,4.0,1.0,0,1,reached,29.454999999998424,,,7.986949517236247,120.34703394551364,8.986649085134236,3.971933874802989,0.2811167187970613,0.15389516390187435,0.0,,29.454999999998424,114.08739178255438,0.9479867350466379,0.0
hmmwv,3,0,pid,6.0,1.0,0,1,reached,20.13500000000028,,,7.985513941094225,120.34703394551364,10.002885077133705,3.859162359839444,0.2811167187970613,0.15389516390187435,0.0,,20.13500000000028,114.83160872503382,0.9541706593036858,0.0
hmmwv,3,0,pid,8.0,1.0,0,1,reached,15.28500000000099,,,7.9639492150390225,120.34703394551364,9.07277522386124,3.682316094566791,0.2811167187970613,0.15389516390187435,0.0,,15.28500000000099,113.50466844800484,0.9431447101504251,0.0
hmmwv,3,0,pid,10.0,1.0,0,1,reached,12.7950000000006,,,7.984118377997441,120.34703394551364,9.512636155438871,4.697713062064785,0.2811167187970613,0.15389516390187435,0.0,,12.7950000000006,113.59121240794177,0.9438638301577874,0.0
hmmwv,3,0,pid,12.0,1.0,0,1,reached,11.555000000000407,,,7.972330122510277,120.34703394551364,8.399153236676764,5.4224442055733775,0.2811167187970613,0.15389516390187435,0.0,,11.555000000000407,114.64254449922184,0.9525996673181454,0.0
hmmwv,3,1,pid,4.0,1.0,0,1,reached,30.78999999999816,,,7.9985679741448275,128.85266691516125,4.767997138941629,3.3462375063952727,0.23757563337427,0.11642745766080564,0.0,,30.78999999999816,119.33869434385356,0.9261639452323338,0.0
hmmwv,3,1,pid,6.0,1.0,0,1,reached,21.210000000000065,,,7.991124350925395,128.85266691516125,4.204024659416428,3.534709361769284,0.23757563337427,0.11642745766080564,0.0,,21.210000000000065,119.83548682547065,0.9300194531819225,0.0
hmmwv,3,1,pid,8.0,1.0,0,1,reached,18.16000000000067,,,7.98953745621155,128.85266691516125,5.895594128981868,4.320870104013217,0.23757563337427,0.11642745766080564,0.0,,18.16000000000067,129.66480487801627,1.0063028417051683,0.0
